state,year,vmt,fatalityrate,sb_use,speed65,ba08,income,age,enforcement
CT,1994,27.138,11.4231,0.72,0,0,30.31,37.16059,primary
CT,1995,28.045,11.3033,0.72,0,0,32.073,37.27996,primary
CT,1996,28.135,11.0183,0.62,0,0,33.979,37.42757,primary
CT,1997,28.552,11.8731,0.64,0,0,35.863,37.54728,primary
DC,1990,3.407,14.0886,0.49,1,0,25.646,36.91365,secondary
DC,1991,3.43,18.3673,0.49,1,0,27.028,36.86105,secondary
DC,1992,3.562,14.0371,0.59,1,0,28.597,37.04135,secondary
DC,1993,3.485,16.3558,0.62,1,0,29.912,37.23086,secondary
DC,1994,3.448,20.0116,0.62,1,0,31.212,37.42154,secondary
DC,1995,3.465,16.7388,0.63,1,0,32.398,37.65045,secondary
DC,1996,3.316,18.6972,0.58,1,0,34.213,38.06775,secondary
DC,1997,3.326,18.0397,0.66,1,0,35.704,38.37567,secondary
DE,1992,6.892,20.3134,0.7,1,0,23.004,35.65156,secondary
DE,1993,6.895,15.9536,0.63,1,0,23.542,35.84438,secondary
DE,1994,7.025,15.9431,0.59,1,0,24.465,35.9685,secondary
DE,1995,7.515,16.1011,0.63,1,0,25.603,36.24027,secondary
DE,1996,7.666,15.1318,0.62,1,0,27.125,36.46009,secondary
DE,1997,8.007,17.8594,0.59,1,0,28.493,36.59892,secondary
FL,1987,93.819,30.2604,0.5515,1,0,16.001,38.80276,secondary
FL,1988,105.319,29.2255,0.471,1,0,17.092,38.8234,secondary
FL,1989,108.877,27.4071,0.55,1,0,18.405,38.87442,secondary
FL,1990,109.997,26.2825,0.53,1,0,19.127,38.69661,secondary
FL,1991,113.483,21.7037,0.5295,1,0,19.451,38.76631,secondary
FL,1992,114.311,21.2316,0.558,1,0,19.91,38.83504,secondary
FL,1993,120.467,21.8815,0.616,1,0,21.08,38.86478,secondary
FL,1994,121.989,22.0266,0.602,1,1,21.761,38.92697,secondary
FL,1995,127.801,21.9482,0.59,1,1,22.676,38.99817,secondary
FL,1996,130.004,21.1763,0.627,1,1,23.834,39.10277,secondary
FL,1997,134.007,20.7825,0.6,1,1,24.799,39.16958,secondary
GA,1988,62.262,26.5652,0.278,1,0,15.591,33.50747,secondary
GA,1989,75.705,21.5574,0.388,1,0,16.466,33.58587,secondary
GA,1990,72.746,21.472,0.417,1,0,17.385,33.85953,secondary
GA,1991,73.005,19.0261,0.456,1,0,17.93,33.96189,secondary
GA,1992,77.904,16.8797,0.461,1,0,18.888,34.09488,secondary
GA,1993,78.426,17.7747,0.572,1,0,19.668,34.17944,secondary
GA,1994,82.822,17.2056,0.529,1,0,20.632,34.30395,secondary
GA,1995,85.384,17.4272,0.507,1,0,21.696,34.41508,secondary
GA,1996,89.132,17.648,0.611,1,0,22.9,34.52568,secondary
GA,1997,93.317,16.8994,0.68,1,1,23.882,34.63508,secondary
HI,1986,6.971,17.2142,0.726,0,0,15.325,33.48086,primary
HI,1987,7.218,19.2574,0.661,0,0,16.262,33.81618,primary
HI,1988,7.419,19.9488,0.665,0,0,17.815,34.10531,primary
HI,1989,7.75,19.2258,0.7830001,0,0,19.395,34.37186,primary
HI,1990,8.066,21.944,0.805,0,0,21.529,34.87897,primary
HI,1991,8.143,16.5787,0.853,0,0,22.171,34.97968,primary
HI,1992,8.066,15.9931,0.831,0,0,22.906,35.17717,primary
HI,1993,8.074,16.5965,0.8419999,0,0,23.638,35.34814,primary
HI,1994,7.935,15.3749,0.825,0,0,24.09,35.52658,primary
HI,1995,7.945,16.3625,0.799,0,0,24.848,35.76539,primary
HI,1996,8.03,18.4309,0.8,0,0,25.086,36.07124,primary
HI,1997,7.947,16.4842,0.8,0,1,25.598,36.39651,primary
IA,1986,20.413,21.6039,0.43,0,0,13.688,36.08493,primary
IA,1987,20.808,23.5967,0.56,1,0,14.511,36.37153,primary
IA,1988,21.907,25.4257,0.55,1,0,14.882,36.56857,primary
IA,1989,22.571,22.7726,0.59,1,0,16.058,36.66882,primary
IA,1990,22.993,20.2235,0.61,1,0,16.885,36.6696,primary
IA,1991,23.02,21.199,0.68,1,0,17.304,36.69196,primary
IA,1992,23.926,18.2646,0.71,1,0,18.368,36.85265,primary
IA,1993,25.118,18.2737,0.73,1,0,18.461,36.93945,primary
IA,1994,25.737,18.5725,0.73,1,0,19.964,37.05333,primary
IA,1995,25.987,20.2794,0.76,1,0,20.412,37.20432,primary
IA,1996,26.88,17.2991,0.75,1,0,22.032,37.29958,primary
IA,1997,27.984,16.7238,0.75,1,0,23.12,37.37587,primary
ID,1986,7.781,33.1577,0.27,0,0,11.663,32.86223,secondary
ID,1987,8.119,32.0236,0.32,1,0,12.265,33.19096,secondary
ID,1988,8.127,31.623,0.34,1,0,13.108,33.48856,secondary
ID,1989,8.422,28.2593,0.33,1,0,14.283,33.70094,secondary
ID,1990,9.849,24.7741,0.35,1,0,15.346,33.76305,secondary
ID,1991,10.318,25.5864,0.46,1,0,15.664,33.91728,secondary
ID,1992,10.764,22.5753,0.53,1,0,16.607,33.99413,secondary
ID,1993,11.481,20.0331,0.59,1,0,17.699,34.04111,secondary
ID,1994,11.652,21.4555,0.54,1,0,18.186,34.06496,secondary
ID,1995,12.296,21.3077,0.5,1,0,18.961,34.20654,secondary
ID,1996,12.961,19.9059,0.5,1,0,19.741,34.35408,secondary
ID,1997,12.88,20.1087,0.49,1,1,20.392,34.50406,secondary
IL,1986,74.144,21.5257,0.362,0,0,16.106,34.71236,secondary
IL,1987,75.756,21.8333,0.373,1,0,17.066,34.87646,secondary
IL,1988,78.483,23.4063,0.395,1,0,18.212,35.03312,secondary
IL,1989,81.297,21.5014,0.4,1,0,19.427,35.1508,secondary
IL,1990,83.334,19.0678,0.471,1,0,20.494,35.42041,secondary
IL,1991,85.43,16.9495,0.504,1,0,20.966,35.41954,secondary
IL,1992,87.642,15.7915,0.64,1,0,22.209,35.51555,secondary
IL,1993,89.693,15.5196,0.67,1,0,22.895,35.59361,secondary
IL,1994,92.316,16.8335,0.683,1,0,23.956,35.62673,secondary
IL,1995,94.189,16.8385,0.687,1,0,25.135,35.67132,secondary
IL,1996,96.73,15.2693,0.64,1,0,26.393,35.72411,secondary
IL,1997,99.319,14.0658,0.642,1,1,27.688,35.78322,secondary
IN,1987,44.122,23.911,0.367,1,0,14.324,34.89602,secondary
IN,1988,51.124,21.4968,0.441,1,0,15.231,35.06287,secondary
IN,1989,56.192,17.28,0.461,1,0,16.296,35.15727,secondary
IN,1990,53.697,19.5355,0.473,1,0,17.167,35.4417,secondary
IN,1991,54.266,18.8332,0.52,1,0,17.624,35.4977,secondary
IN,1992,57.072,15.7871,0.56,1,0,18.763,35.65319,secondary
IN,1993,60.461,14.9022,0.56,1,0,19.649,35.7684,secondary
IN,1994,62.108,15.6341,0.56,1,0,20.734,35.83475,secondary
IN,1995,64.552,14.8717,0.64,1,0,21.427,35.93618,secondary
IN,1996,66.22,14.8596,0.62,1,0,22.234,36.06285,secondary
IN,1997,68.62,13.6258,0.63,1,0,23.202,36.10934,secondary
KS,1986,19.826,25.2194,0.236,0,0,14.703,35.29528,secondary
KS,1987,20.561,23.8802,0.423,1,0,15.327,35.36159,secondary
KS,1988,21.161,22.825,0.482,1,0,16.04,35.44693,secondary
KS,1989,21.913,19.5318,0.52,1,0,16.802,35.47808,secondary
KS,1990,22.849,19.4319,0.578,1,0,17.94,35.59708,secondary
KS,1991,23.186,17.64,0.635,1,0,18.492,35.60047,secondary
KS,1992,24.163,16.0162,0.703,1,0,19.447,35.71392,secondary
KS,1993,24.115,17.7483,0.7,1,1,20.048,35.7961,secondary
KS,1994,24.678,17.9107,0.7,1,1,20.638,35.86905,secondary
KS,1995,25.153,17.5725,0.54,1,1,21.481,36.01546,secondary
KS,1996,25.942,18.8883,0.54,1,1,22.707,36.13588,secondary
KS,1997,26.524,18.1722,0.56,1,1,23.972,36.16293,secondary
KY,1994,39.822,19.5369,0.58,1,0,17.872,35.99733,secondary
KY,1995,41.095,20.6594,0.54,1,0,18.601,36.15645,secondary
KY,1996,42.586,19.7718,0.55,1,0,19.475,36.31981,secondary
KY,1997,44.762,19.1457,0.54,1,0,20.57,36.36817,secondary
LA,1987,30.599,26.9943,0.35,1,0,12.01,32.88427,secondary
LA,1988,34.682,26.6709,0.36,1,0,12.829,33.09141,secondary
LA,1989,37.914,23.1577,0.41,1,0,13.62,33.34373,secondary
LA,1990,37.667,25.46,0.43,1,0,14.773,33.88932,secondary
LA,1991,34.71,24.8343,0.42,1,0,15.593,33.91446,secondary
LA,1992,33.853,26.172,0.5,1,0,16.381,34.04681,secondary
LA,1993,36.351,24.1534,0.48,1,0,17.133,34.21114,secondary
LA,1994,37.43,22.522,0.5,1,0,18.086,34.33136,secondary
LA,1995,38.647,23.1325,0.59,1,0,18.826,34.49894,secondary
LA,1996,38.095,23.6776,0.63,1,0,19.609,34.71262,secondary
LA,1997,38.84,23.9701,0.67,1,0,20.458,34.90413,secondary
MA,1994,46.99,9.3637,0.52,1,0,26.433,36.95366,secondary
MA,1995,48.053,9.2398,0.53,1,0,28.097,37.09949,secondary
MA,1996,49.956,8.3273,0.54,1,0,29.591,37.25541,secondary
MA,1997,50.468,8.7382,0.53,1,0,31.239,37.38256,secondary
MD,1986,35.208,22.2677,0.55,0,0,17.461,34.63836,secondary
MD,1987,36.493,22.3056,0.56,1,0,18.665,34.72748,secondary
MD,1988,37.498,20.8278,0.57,1,0,20.079,34.75936,secondary
MD,1989,38.922,18.6527,0.62,1,0,21.469,34.82172,secondary
MD,1990,40.536,17.4413,0.65,1,0,22.482,35.0643,secondary
MD,1991,41.349,16.784,0.67,1,0,22.877,35.12738,secondary
MD,1992,41.896,15.7294,0.67,1,0,23.548,35.29245,secondary
MD,1993,43.311,15.3772,0.7,1,0,24.283,35.4098,secondary
MD,1994,44.165,14.7402,0.7,1,0,25.329,35.5534,secondary
MD,1995,44.882,14.9503,0.7,1,0,26.141,35.67639,secondary
MD,1996,46.187,13.1639,0.7,1,0,27.298,35.89209,secondary
MD,1997,46.609,13.1091,0.71,1,0,28.674,35.99752,secondary
ME,1996,12.819,13.1836,0.5,1,1,20.948,37.31929,secondary
ME,1997,13.245,14.496,0.61,1,1,21.937,37.59044,secondary
MI,1986,71.981,22.2975,0.463,0,0,15.338,34.33911,secondary
MI,1987,75.706,21.1608,0.4645,1,0,15.899,34.51496,secondary
MI,1988,77.899,21.9258,0.48,1,0,16.95,34.65726,secondary
MI,1989,79.89,20.5157,0.467,1,0,17.987,34.7706,secondary
MI,1990,81.091,19.3733,0.517,1,0,18.699,34.96533,secondary
MI,1991,81.935,17.343,0.64,1,0,19.022,35.04849,secondary
MI,1992,84.219,15.4359,0.554,1,0,19.861,35.2481,secondary
MI,1993,85.686,16.5021,0.64,1,0,20.939,35.3885,secondary
MI,1994,85.183,16.6817,0.636,1,0,22.338,35.55834,secondary
MI,1995,85.703,17.8524,0.656,1,0,23.407,35.70993,secondary
MI,1996,90.215,16.6824,0.672,1,0,23.996,35.875,secondary
MI,1997,91.755,15.7594,0.681,1,0,24.956,35.99913,secondary
MN,1986,33.806,16.8905,0.33,0,0,15.526,34.62694,secondary
MN,1987,35.167,15.0709,0.32,1,0,16.479,34.76574,secondary
MN,1988,36.447,16.7915,0.47,1,0,17.115,34.83434,secondary
MN,1989,37.393,16.1528,0.44,1,0,18.404,34.89288,secondary
MN,1990,38.946,14.5329,0.47,1,0,19.348,35.0013,secondary
MN,1991,39.254,13.5273,0.53,1,0,19.845,35.073,secondary
MN,1992,41.162,14.115,0.51,1,0,21.126,35.17264,secondary
MN,1993,42.214,12.7446,0.55,1,0,21.488,35.28432,secondary
MN,1994,43.317,14.9133,0.57,1,0,22.802,35.40265,secondary
MN,1995,44.072,13.546,0.65,1,0,23.736,35.54665,secondary
MN,1996,44.465,12.954,0.64,1,0,25.235,35.68921,secondary
MN,1997,48.35,12.4095,0.65,1,0,26.243,35.77662,secondary
MO,1990,50.883,21.5593,0.54,1,0,17.639,36.20201,secondary
MO,1991,40.982,24.6694,0.54,1,0,18.305,36.21761,secondary
MO,1992,53.254,18.4963,0.7,1,0,19.12,36.30175,secondary
MO,1993,54.821,17.2744,0.7,1,0,19.632,36.35517,secondary
MO,1994,57.288,19.0092,0.68,1,0,20.576,36.43617,secondary
MO,1995,59.347,18.6867,0.71,1,0,21.54,36.49969,secondary
MO,1996,61.162,18.7535,0.62,1,0,22.586,36.53993,secondary
MO,1997,62.98,18.9266,0.62,1,0,23.629,36.5948,secondary
MS,1990,24.398,30.7402,0.23,1,0,12.706,34.45669,secondary
MS,1991,24.897,28.6782,0.32,1,0,13.376,34.47629,secondary
MS,1992,26.239,29.1932,0.24,1,0,14.163,34.5176,secondary
MS,1993,26.864,30.2636,0.25,1,0,14.9,34.5916,secondary
MS,1994,28.548,27.7077,0.433,1,0,15.886,34.66539,secondary
MS,1995,29.559,29.365,0.46,1,0,16.574,34.80508,secondary
MS,1996,30.562,26.5362,0.4599,1,0,17.398,34.9623,secondary
MS,1997,31.519,27.3169,0.4823,1,0,18.098,35.07288,secondary
MT,1988,8.138,24.3303,0.5945,1,0,12.954,35.00442,secondary
MT,1989,8.25,21.9394,0.618,1,0,14.193,35.28573,secondary
MT,1990,8.332,25.4441,0.626,1,0,15.038,35.46714,secondary
MT,1991,8.314,24.0558,0.6445,1,0,15.947,35.60186,secondary
MT,1992,8.525,22.522,0.6803,1,0,16.541,35.67782,secondary
MT,1993,8.707,22.3958,0.692,1,0,17.571,35.78074,secondary
MT,1994,9.116,22.1588,0.6958,1,0,17.59,35.96219,secondary
MT,1995,9.399,22.8748,0.7008,1,0,18.286,36.24869,secondary
MT,1996,9.446,21.173,0.708,1,0,18.872,36.5378,secondary
MT,1997,9.392,28.2155,0.7255,1,0,19.66,36.82977,secondary
NC,1986,52.866,31.1542,0.42,0,0,12.9,34.81873,primary
NC,1987,54.6,29.011,0.78,1,0,13.717,35.0198,primary
NC,1988,57.943,27.1474,0.63,1,0,14.81,35.18054,primary
NC,1989,60.877,24.1635,0.61,1,0,15.827,35.32871,primary
NC,1990,62.707,22.0868,0.58,1,0,16.649,35.51917,primary
NC,1991,64.883,21.0995,0.61,1,0,17.115,35.63745,primary
NC,1992,67.538,18.7302,0.62,1,0,18.23,35.76171,primary
NC,1993,69.493,19.9876,0.63,1,1,19.137,35.87254,primary
NC,1994,71.928,19.8949,0.79,1,1,19.92,35.97425,primary
NC,1995,76.053,19.0394,0.8,1,1,20.996,36.09945,primary
NC,1996,78.935,18.927,0.8,1,1,22.053,36.20906,primary
NC,1997,81.893,18.109,0.85,1,1,23.168,36.27514,primary
ND,1995,6.545,11.3063,0.42,1,0,18.149,36.34026,secondary
ND,1996,6.741,12.6094,0.43,1,0,20.197,36.55767,secondary
ND,1997,7.123,14.741,0.49,1,0,20.103,36.71871,secondary
NE,1993,14.777,17.1889,0.54,1,0,19.714,35.90143,secondary
NE,1994,15.466,17.5223,0.63,1,0,20.365,35.97546,secondary
NE,1995,15.807,16.0688,0.64,1,0,21.029,36.08698,secondary
NE,1996,16.238,18.0441,0.65,1,0,22.847,36.17398,secondary
NE,1997,17.077,17.6846,0.63,1,0,23.618,36.22448,secondary
NJ,1985,53.108,18.1517,0.4,0,0,17.807,36.21274,secondary
NJ,1986,55.35,18.7715,0.353,0,0,18.9,36.28624,secondary
NJ,1987,57.071,17.925,0.351,0,0,20.391,36.37607,secondary
NJ,1988,58.725,17.897,0.414,0,0,22.302,36.43306,secondary
NJ,1989,59.898,14.8753,0.441,0,0,23.751,36.48288,secondary
NJ,1990,58.923,15.0366,0.504,0,0,24.883,36.63531,secondary
NJ,1991,59.289,13.2065,0.526,0,0,25.328,36.66513,secondary
NJ,1992,59.41,12.843,0.7130001,0,0,26.749,36.75087,secondary
NJ,1993,59.726,13.2103,0.642,0,0,27.457,36.79403,secondary
NJ,1994,60.466,12.5856,0.61,0,0,28.333,36.8207,secondary
NJ,1995,61.012,12.686,0.607,0,0,29.568,36.88559,secondary
NJ,1996,62.334,13.0587,0.603,0,0,30.892,36.99505,secondary
NJ,1997,63.308,12.2417,0.62,0,0,32.356,37.10777,secondary
NM,1990,16.148,30.9017,0.59,1,0,14.48,33.48713,primary
NM,1991,16.773,27.9616,0.67,1,0,15.069,33.59814,primary
NM,1992,18.452,24.9295,0.66,1,0,15.762,33.74029,primary
NM,1993,18.945,22.7501,0.75,1,0,16.559,33.79538,primary
NM,1994,20.48,21.8262,0.79,1,1,17.15,33.95294,primary
NM,1995,21.147,22.9347,0.86,1,1,18.029,34.13266,primary
NM,1996,21.51,22.5477,0.85,1,1,18.634,34.37305,primary
NM,1997,21.937,22.0632,0.87,1,1,19.298,34.53826,primary
NV,1987,8.396,31.2053,0.344,1,0,16.422,34.55044,secondary
NV,1988,8.989,31.8167,0.314,1,0,17.688,34.64849,secondary
NV,1990,10.215,33.5781,0.38,1,0,20.209,34.82133,secondary
NV,1991,10.51,28.3539,0.638,1,0,20.596,35.12127,secondary
NV,1992,10.897,23.3092,0.633,1,0,21.73,35.39177,secondary
NV,1993,11.624,22.6256,0.699,1,0,22.388,35.46874,secondary
NV,1994,13.019,22.5824,0.707,1,0,23.391,35.54737,secondary
NV,1995,13.974,22.3987,0.71,1,0,24.541,35.65464,secondary
NV,1996,14.158,24.5797,0.701,1,0,25.877,35.71119,secondary
NV,1997,16.309,21.2766,0.701,1,0,26.514,35.72542,secondary
NY,1985,90.518,22.1613,0.515,0,0,16.613,35.88109,primary
NY,1986,94.716,22.3933,0.48,0,0,17.709,35.95085,primary
NY,1987,98.002,23.8669,0.64,0,0,18.871,36.03766,primary
NY,1988,103.692,21.7567,0.59,0,0,20.433,36.07808,primary
NY,1989,106.059,21.3089,0.6,0,0,21.82,36.11018,primary
NY,1990,106.902,20.7386,0.63,0,0,23.106,36.26569,primary
NY,1991,107.661,18.6511,0.67,0,0,23.6,36.23967,primary
NY,1992,109.881,16.5179,0.69,0,0,24.801,36.30256,primary
NY,1993,112.24,15.948,0.72,0,0,25.373,36.35571,primary
NY,1994,112.97,14.8535,0.72,0,0,26.242,36.41601,primary
NY,1995,115.091,14.5885,0.72,1,0,27.587,36.52503,primary
NY,1996,118.641,13.4186,0.74,1,0,29.015,36.64091,primary
NY,1997,120.778,13.678,0.74,1,0,30.25,36.78652,primary
OH,1986,81.348,20.566,0.49,0,0,14.458,35.07521,secondary
OH,1987,79.157,22.3859,0.41,1,0,15.156,35.26473,secondary
OH,1988,81.99,21.3197,0.39,1,0,16.187,35.40693,secondary
OH,1989,84.418,20.9908,0.43,1,0,17.203,35.52404,secondary
OH,1990,86.972,18.8336,0.465,1,0,18.116,35.78138,secondary
OH,1991,93.002,17.591,0.53,1,0,18.589,35.83456,secondary
OH,1992,95.221,15.1122,0.58,1,0,19.482,35.96465,secondary
OH,1993,96.992,15.2384,0.617,1,0,20.228,36.09631,secondary
OH,1994,98.2,13.9511,0.621,1,0,21.237,36.20414,secondary
OH,1995,100.788,13.4937,0.627,1,0,22.217,36.35731,secondary
OH,1996,103.09,13.4931,0.624,1,0,23.054,36.49838,secondary
OH,1997,103.675,13.8896,0.652,1,0,24.163,36.58474,secondary
OK,1987,31.606,18.8888,0.3515,1,0,13.068,34.95862,secondary
OK,1988,32.388,19.6987,0.32,1,0,13.833,35.21893,secondary
OK,1989,32.836,19.7344,0.305,1,0,14.691,35.50052,secondary
OK,1990,33.081,19.3767,0.336,1,0,15.613,35.69559,secondary
OK,1991,34.24,19.0421,0.37,1,0,16.1,35.74194,secondary
OK,1992,35.119,17.4549,0.442,1,0,16.832,35.83285,secondary
OK,1993,35.529,18.886,0.466,1,0,17.419,35.91766,secondary
OK,1994,36.98,18.5776,0.45,1,0,17.984,36.00317,secondary
OK,1995,38.489,17.3816,0.464,1,0,18.544,36.11529,secondary
OK,1996,39.427,19.5805,0.475,1,0,19.342,36.25351,secondary
OK,1997,41.4,20.2415,0.474,1,0,20.305,36.35049,secondary
OR,1988,25.204,26.8608,0.47,1,1,15.313,36.00641,primary
OR,1991,25.762,18.7097,0.7,1,1,17.895,36.12591,primary
OR,1992,27.926,16.866,0.75,1,1,18.678,36.27373,primary
OR,1993,28.352,18.4467,0.8,1,1,19.518,36.45624,primary
OR,1994,29.453,16.7725,0.81,1,1,20.508,36.57107,primary
OR,1995,30.034,19.1117,0.83,1,1,21.618,36.6996,primary
OR,1996,30.319,17.3489,0.83,1,1,22.894,36.85196,primary
OR,1997,32.268,16.239,0.85,1,1,23.92,36.93308,primary
PA,1989,83.855,22.3839,0.495,0,0,18.264,37.30455,secondary
PA,1990,85.708,19.2047,0.531,0,0,19.371,37.40253,secondary
PA,1991,87.282,19.0303,0.604,0,0,19.975,37.44606,secondary
PA,1992,89.2,17.3206,0.63,0,0,20.95,37.5555,secondary
PA,1993,90.706,16.8567,0.675,0,0,21.635,37.65277,secondary
PA,1994,92.347,15.6042,0.71,0,0,22.343,37.7525,secondary
PA,1995,94.52,15.6581,0.71,1,0,23.268,37.89829,secondary
PA,1996,96.646,15.1998,0.65,1,0,24.533,38.07518,secondary
PA,1997,98.015,15.8853,0.647,1,0,25.67,38.19385,secondary
RI,1992,7.676,10.2918,0.32,0,0,20.819,37.09748,secondary
RI,1993,7.227,10.2394,0.32,0,0,21.735,37.14618,secondary
RI,1994,7.095,8.8795,0.58,0,0,22.315,37.28884,secondary
RI,1995,6.896,10.0058,0.58,1,0,23.52,37.45345,secondary
RI,1996,7.12,9.691,0.58,1,0,24.356,37.66213,secondary
RI,1997,7.071,10.6067,0.58,1,0,25.667,37.73576,secondary
SC,1990,34.376,28.4792,0.49,1,0,15.427,34.60175,secondary
SC,1991,34.456,25.83,0.495,1,0,15.71,34.72511,secondary
SC,1992,35.049,23.0249,0.54,1,0,16.41,34.94807,secondary
SC,1993,36.125,23.4187,0.587,1,0,17.091,35.17385,secondary
SC,1994,37.245,22.7413,0.64,1,0,17.914,35.38049,secondary
SC,1995,38.724,22.7507,0.64,1,0,18.789,35.64164,secondary
SC,1996,39.756,23.3927,0.61,1,0,19.651,35.86225,secondary
SC,1997,41.333,21.847,0.61,1,0,20.508,36.0674,secondary
SD,1995,7.669,20.6024,0.4,1,0,18.724,35.82715,secondary
SD,1996,7.817,22.3871,0.47,1,0,20.45,36.04702,secondary
SD,1997,7.938,18.6445,0.59,1,0,21.076,36.14575,secondary
TN,1990,46.71,25.198,0.43,1,0,16.309,35.85265,secondary
TN,1991,47.267,23.5471,0.51,1,0,16.976,35.93281,secondary
TN,1992,49.994,23.0628,0.58,1,0,18.256,36.0331,secondary
TN,1993,52.112,22.4516,0.5837,1,0,19.139,36.10373,secondary
TN,1994,54.524,22.2654,0.6009,1,0,20.088,36.17986,secondary
TN,1995,56.214,22.3966,0.6419,1,0,21.109,36.29959,secondary
TN,1996,58.435,21.203,0.6331,1,0,21.8,36.45208,secondary
TN,1997,60.526,20.2392,0.6067,1,0,22.699,36.59624,secondary
TX,1990,162.232,20.033,0.68,1,0,17.29,33.23519,primary
TX,1991,158.756,19.3882,0.68,1,0,17.985,33.33799,primary
TX,1992,163.329,18.7291,0.69,1,0,18.886,33.46712,primary
TX,1993,167.611,18.1551,0.69,1,0,19.606,33.55479,primary
TX,1994,178.348,17.8696,0.71,1,0,20.312,33.63593,primary
TX,1995,181.096,17.5763,0.72,1,0,21.32,33.75755,primary
TX,1996,185.386,20.1849,0.74,1,0,22.345,33.84127,primary
TX,1997,198.7,17.6799,0.75,1,0,23.707,33.95248,primary
UT,1990,14.646,18.5716,0.39,1,1,14.214,30.12415,secondary
UT,1991,15.391,17.6077,0.45,1,1,14.855,30.24854,secondary
UT,1992,16.307,16.496,0.5,1,1,15.561,30.43184,secondary
UT,1993,17.056,17.765,0.5,1,1,16.359,30.53959,secondary
UT,1994,18.078,18.9733,0.53,1,1,17.004,30.74269,secondary
UT,1995,18.781,17.3047,0.56,1,1,18.054,30.8919,secondary
UT,1996,19.539,16.4287,0.6,1,1,19.214,30.95534,secondary
UT,1997,20.444,17.9026,0.63,1,1,20.185,30.99706,secondary
